Cerritos College,1382,10631,20087
University of California Los Angeles,13546,43939,22670
San Diego State University,8212,20092,23336
University of California Berkly,14394,44467,27509
University of California Davis,38555,68628,22477
California State University Chico,26727,38608,17546
